Date_of_Booking,Day_of_Booking,Source_Airport,Destination_Airport,Airline_Name,Airline_Code,Price,Travel_Date_From,Travel_Date_To
3/3/2022,Thursday,SFO,BOS,United Airlines,UA2262,309,5/23/2022,6/22/2022
3/3/2022,Thursday,SFO,BOS,Jetblue Airways,JB1734,301,5/23/2022,6/22/2022
3/3/2022,Thursday,SFO,BOS,Alaska Airlines,AA547,335,5/23/2022,6/22/2022
3/3/2022,Thursday,SFO,BOS,United Airlines,UA2267,349,5/23/2022,6/22/2022
3/3/2022,Thursday,SFO,BOS,Jetblue Airways,JB1736,330,5/23/2022,6/22/2022
3/3/2022,Thursday,SFO,BOS,Alaska Airlines,AA548,324,5/23/2022,6/22/2022
3/3/2022,Thursday,SFO,BOS,United Airlines,UA2264,317,5/23/2022,6/22/2022
3/3/2022,Thursday,SFO,BOS,Jetblue Airways,JB1735,296,5/23/2022,6/22/2022
3/3/2022,Thursday,SFO,BOS,Alaska Airlines,AA560,335,5/23/2022,6/22/2022
3/4/2022,Friday,SFO,BOS,Alaska Airlines,AA546,355,5/23/2022,6/22/2022
3/4/2022,Friday,SFO,BOS,United Airlines,UA2262,341,5/23/2022,6/22/2022
3/4/2022,Friday,SFO,BOS,Jetblue Airways,JB1734,356,5/23/2022,6/22/2022
3/4/2022,Friday,SFO,BOS,Alaska Airlines,AA547,301,5/23/2022,6/22/2022
3/4/2022,Friday,SFO,BOS,United Airlines,UA2267,349,5/23/2022,6/22/2022
3/4/2022,Friday,SFO,BOS,Jetblue Airways,JB1736,327,5/23/2022,6/22/2022
3/4/2022,Friday,SFO,BOS,Alaska Airlines,AA548,315,5/23/2022,6/22/2022
3/4/2022,Friday,SFO,BOS,United Airlines,UA2264,338,5/23/2022,6/22/2022
3/4/2022,Friday,SFO,BOS,Jetblue Airways,JB1735,343,5/23/2022,6/22/2022
3/4/2022,Friday,SFO,BOS,Alaska Airlines,AA560,357,5/23/2022,6/22/2022
3/5/2022,Saturday,SFO,BOS,Alaska Airlines,AA546,290,5/23/2022,6/22/2022
3/5/2022,Saturday,SFO,BOS,United Airlines,UA2262,298,5/23/2022,6/22/2022
3/5/2022,Saturday,SFO,BOS,Jetblue Airways,JB1734,315,5/23/2022,6/22/2022
3/5/2022,Saturday,SFO,BOS,Alaska Airlines,AA547,324,5/23/2022,6/22/2022
3/5/2022,Saturday,SFO,BOS,United Airlines,UA2267,296,5/23/2022,6/22/2022
3/5/2022,Saturday,SFO,BOS,Jetblue Airways,JB1736,341,5/23/2022,6/22/2022
3/5/2022,Saturday,SFO,BOS,Alaska Airlines,AA548,338,5/23/2022,6/22/2022
3/5/2022,Saturday,SFO,BOS,United Airlines,UA2264,327,5/23/2022,6/22/2022
3/5/2022,Saturday,SFO,BOS,Jetblue Airways,JB1735,309,5/23/2022,6/22/2022
3/5/2022,Saturday,SFO,BOS,Alaska Airlines,AA560,351,5/23/2022,6/22/2022
3/6/2022,Sunday,SFO,BOS,Alaska Airlines,AA546,292,5/23/2022,6/22/2022
3/6/2022,Sunday,SFO,BOS,United Airlines,UA2262,344,5/23/2022,6/22/2022
3/6/2022,Sunday,SFO,BOS,Jetblue Airways,JB1734,335,5/23/2022,6/22/2022
3/6/2022,Sunday,SFO,BOS,Alaska Airlines,AA547,294,5/23/2022,6/22/2022
3/6/2022,Sunday,SFO,BOS,United Airlines,UA2267,322,5/23/2022,6/22/2022
3/6/2022,Sunday,SFO,BOS,Jetblue Airways,JB1736,339,5/23/2022,6/22/2022
3/6/2022,Sunday,SFO,BOS,Alaska Airlines,AA548,330,5/23/2022,6/22/2022
3/6/2022,Sunday,SFO,BOS,United Airlines,UA2264,342,5/23/2022,6/22/2022
3/6/2022,Sunday,SFO,BOS,Jetblue Airways,JB1735,293,5/23/2022,6/22/2022
3/6/2022,Sunday,SFO,BOS,Alaska Airlines,AA560,295,5/23/2022,6/22/2022
3/7/2022,Monday,SFO,BOS,Alaska Airlines,AA546,349,5/23/2022,6/22/2022
3/7/2022,Monday,SFO,BOS,United Airlines,UA2262,330,5/23/2022,6/22/2022
3/7/2022,Monday,SFO,BOS,Jetblue Airways,JB1734,337,5/23/2022,6/22/2022
3/7/2022,Monday,SFO,BOS,Alaska Airlines,AA547,339,5/23/2022,6/22/2022
3/7/2022,Monday,SFO,BOS,United Airlines,UA2267,305,5/23/2022,6/22/2022
3/7/2022,Monday,SFO,BOS,Jetblue Airways,JB1736,344,5/23/2022,6/22/2022
3/7/2022,Monday,SFO,BOS,Alaska Airlines,AA548,301,5/23/2022,6/22/2022
3/7/2022,Monday,SFO,BOS,United Airlines,UA2264,310,5/23/2022,6/22/2022
3/7/2022,Monday,SFO,BOS,Jetblue Airways,JB1735,333,5/23/2022,6/22/2022
3/7/2022,Monday,SFO,BOS,Alaska Airlines,AA560,291,5/23/2022,6/22/2022
3/8/2022,Tuesday,SFO,BOS,Alaska Airlines,AA546,356,5/23/2022,6/22/2022
3/8/2022,Tuesday,SFO,BOS,United Airlines,UA2262,329,5/23/2022,6/22/2022
3/8/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1734,319,5/23/2022,6/22/2022
3/8/2022,Tuesday,SFO,BOS,Alaska Airlines,AA547,346,5/23/2022,6/22/2022
3/8/2022,Tuesday,SFO,BOS,United Airlines,UA2267,324,5/23/2022,6/22/2022
3/8/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1736,341,5/23/2022,6/22/2022
3/8/2022,Tuesday,SFO,BOS,Alaska Airlines,AA548,334,5/23/2022,6/22/2022
3/8/2022,Tuesday,SFO,BOS,United Airlines,UA2264,347,5/23/2022,6/22/2022
3/8/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1735,328,5/23/2022,6/22/2022
3/8/2022,Tuesday,SFO,BOS,Alaska Airlines,AA560,324,5/23/2022,6/22/2022
3/9/2022,Wednesday,SFO,BOS,Alaska Airlines,AA546,332,5/23/2022,6/22/2022
3/9/2022,Wednesday,SFO,BOS,United Airlines,UA2262,299,5/23/2022,6/22/2022
3/9/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1734,323,5/23/2022,6/22/2022
3/9/2022,Wednesday,SFO,BOS,Alaska Airlines,AA547,355,5/23/2022,6/22/2022
3/9/2022,Wednesday,SFO,BOS,United Airlines,UA2267,324,5/23/2022,6/22/2022
3/9/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1736,332,5/23/2022,6/22/2022
3/9/2022,Wednesday,SFO,BOS,Alaska Airlines,AA548,339,5/23/2022,6/22/2022
3/9/2022,Wednesday,SFO,BOS,United Airlines,UA2264,347,5/23/2022,6/22/2022
3/9/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1735,343,5/23/2022,6/22/2022
3/9/2022,Wednesday,SFO,BOS,Alaska Airlines,AA560,338,5/23/2022,6/22/2022
3/10/2022,Thursday,SFO,BOS,Alaska Airlines,AA546,320,5/23/2022,6/22/2022
3/10/2022,Thursday,SFO,BOS,United Airlines,UA2262,332,5/23/2022,6/22/2022
3/10/2022,Thursday,SFO,BOS,Jetblue Airways,JB1734,333,5/23/2022,6/22/2022
3/10/2022,Thursday,SFO,BOS,Alaska Airlines,AA547,306,5/23/2022,6/22/2022
3/10/2022,Thursday,SFO,BOS,United Airlines,UA2267,310,5/23/2022,6/22/2022
3/10/2022,Thursday,SFO,BOS,Jetblue Airways,JB1736,325,5/23/2022,6/22/2022
3/10/2022,Thursday,SFO,BOS,Alaska Airlines,AA548,339,5/23/2022,6/22/2022
3/10/2022,Thursday,SFO,BOS,United Airlines,UA2264,354,5/23/2022,6/22/2022
3/10/2022,Thursday,SFO,BOS,Jetblue Airways,JB1735,337,5/23/2022,6/22/2022
3/10/2022,Thursday,SFO,BOS,Alaska Airlines,AA560,292,5/23/2022,6/22/2022
3/11/2022,Friday,SFO,BOS,Alaska Airlines,AA546,290,5/23/2022,6/22/2022
3/11/2022,Friday,SFO,BOS,United Airlines,UA2262,305,5/23/2022,6/22/2022
3/11/2022,Friday,SFO,BOS,Jetblue Airways,JB1734,309,5/23/2022,6/22/2022
3/11/2022,Friday,SFO,BOS,Alaska Airlines,AA547,311,5/23/2022,6/22/2022
3/11/2022,Friday,SFO,BOS,United Airlines,UA2267,309,5/23/2022,6/22/2022
3/11/2022,Friday,SFO,BOS,Jetblue Airways,JB1736,293,5/23/2022,6/22/2022
3/11/2022,Friday,SFO,BOS,Alaska Airlines,AA548,357,5/23/2022,6/22/2022
3/11/2022,Friday,SFO,BOS,United Airlines,UA2264,349,5/23/2022,6/22/2022
3/11/2022,Friday,SFO,BOS,Jetblue Airways,JB1735,290,5/23/2022,6/22/2022
3/11/2022,Friday,SFO,BOS,Alaska Airlines,AA560,297,5/23/2022,6/22/2022
3/12/2022,Saturday,SFO,BOS,Alaska Airlines,AA546,293,5/23/2022,6/22/2022
3/12/2022,Saturday,SFO,BOS,United Airlines,UA2262,334,5/23/2022,6/22/2022
3/12/2022,Saturday,SFO,BOS,Jetblue Airways,JB1734,343,5/23/2022,6/22/2022
3/12/2022,Saturday,SFO,BOS,Alaska Airlines,AA547,336,5/23/2022,6/22/2022
3/12/2022,Saturday,SFO,BOS,United Airlines,UA2267,349,5/23/2022,6/22/2022
3/12/2022,Saturday,SFO,BOS,Jetblue Airways,JB1736,301,5/23/2022,6/22/2022
3/12/2022,Saturday,SFO,BOS,Alaska Airlines,AA548,355,5/23/2022,6/22/2022
3/12/2022,Saturday,SFO,BOS,United Airlines,UA2264,323,5/23/2022,6/22/2022
3/12/2022,Saturday,SFO,BOS,Jetblue Airways,JB1735,336,5/23/2022,6/22/2022
3/12/2022,Saturday,SFO,BOS,Alaska Airlines,AA560,357,5/23/2022,6/22/2022
3/13/2022,Sunday,SFO,BOS,Alaska Airlines,AA546,340,5/23/2022,6/22/2022
3/13/2022,Sunday,SFO,BOS,United Airlines,UA2262,300,5/23/2022,6/22/2022
3/13/2022,Sunday,SFO,BOS,Jetblue Airways,JB1734,337,5/23/2022,6/22/2022
3/13/2022,Sunday,SFO,BOS,Alaska Airlines,AA547,341,5/23/2022,6/22/2022
3/13/2022,Sunday,SFO,BOS,United Airlines,UA2267,348,5/23/2022,6/22/2022
3/13/2022,Sunday,SFO,BOS,Jetblue Airways,JB1736,312,5/23/2022,6/22/2022
3/13/2022,Sunday,SFO,BOS,Alaska Airlines,AA548,325,5/23/2022,6/22/2022
3/13/2022,Sunday,SFO,BOS,United Airlines,UA2264,292,5/23/2022,6/22/2022
3/13/2022,Sunday,SFO,BOS,Jetblue Airways,JB1735,300,5/23/2022,6/22/2022
3/13/2022,Sunday,SFO,BOS,Alaska Airlines,AA560,308,5/23/2022,6/22/2022
3/14/2022,Monday,SFO,BOS,Alaska Airlines,AA546,303,5/23/2022,6/22/2022
3/14/2022,Monday,SFO,BOS,United Airlines,UA2262,315,5/23/2022,6/22/2022
3/14/2022,Monday,SFO,BOS,Jetblue Airways,JB1734,335,5/23/2022,6/22/2022
3/14/2022,Monday,SFO,BOS,Alaska Airlines,AA547,330,5/23/2022,6/22/2022
3/14/2022,Monday,SFO,BOS,United Airlines,UA2267,315,5/23/2022,6/22/2022
3/14/2022,Monday,SFO,BOS,Jetblue Airways,JB1736,318,5/23/2022,6/22/2022
3/14/2022,Monday,SFO,BOS,Alaska Airlines,AA548,337,5/23/2022,6/22/2022
3/14/2022,Monday,SFO,BOS,United Airlines,UA2264,313,5/23/2022,6/22/2022
3/14/2022,Monday,SFO,BOS,Jetblue Airways,JB1735,316,5/23/2022,6/22/2022
3/14/2022,Monday,SFO,BOS,Alaska Airlines,AA560,295,5/23/2022,6/22/2022
3/15/2022,Tuesday,SFO,BOS,Alaska Airlines,AA546,329,5/23/2022,6/22/2022
3/15/2022,Tuesday,SFO,BOS,United Airlines,UA2262,339,5/23/2022,6/22/2022
3/15/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1734,341,5/23/2022,6/22/2022
3/15/2022,Tuesday,SFO,BOS,Alaska Airlines,AA547,299,5/23/2022,6/22/2022
3/15/2022,Tuesday,SFO,BOS,United Airlines,UA2267,343,5/23/2022,6/22/2022
3/15/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1736,328,5/23/2022,6/22/2022
3/15/2022,Tuesday,SFO,BOS,Alaska Airlines,AA548,330,5/23/2022,6/22/2022
3/15/2022,Tuesday,SFO,BOS,United Airlines,UA2264,324,5/23/2022,6/22/2022
3/15/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1735,336,5/23/2022,6/22/2022
3/15/2022,Tuesday,SFO,BOS,Alaska Airlines,AA560,343,5/23/2022,6/22/2022
3/16/2022,Wednesday,SFO,BOS,Alaska Airlines,AA546,350,5/23/2022,6/22/2022
3/16/2022,Wednesday,SFO,BOS,United Airlines,UA2262,305,5/23/2022,6/22/2022
3/16/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1734,306,5/23/2022,6/22/2022
3/16/2022,Wednesday,SFO,BOS,Alaska Airlines,AA547,298,5/23/2022,6/22/2022
3/16/2022,Wednesday,SFO,BOS,United Airlines,UA2267,319,5/23/2022,6/22/2022
3/16/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1736,322,5/23/2022,6/22/2022
3/16/2022,Wednesday,SFO,BOS,Alaska Airlines,AA548,360,5/23/2022,6/22/2022
3/16/2022,Wednesday,SFO,BOS,United Airlines,UA2264,299,5/23/2022,6/22/2022
3/16/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1735,334,5/23/2022,6/22/2022
3/16/2022,Wednesday,SFO,BOS,Alaska Airlines,AA560,345,5/23/2022,6/22/2022
3/17/2022,Thursday,SFO,BOS,Alaska Airlines,AA546,298,5/23/2022,6/22/2022
3/17/2022,Thursday,SFO,BOS,United Airlines,UA2262,330,5/23/2022,6/22/2022
3/17/2022,Thursday,SFO,BOS,Jetblue Airways,JB1734,335,5/23/2022,6/22/2022
3/17/2022,Thursday,SFO,BOS,Alaska Airlines,AA547,330,5/23/2022,6/22/2022
3/17/2022,Thursday,SFO,BOS,United Airlines,UA2267,335,5/23/2022,6/22/2022
3/17/2022,Thursday,SFO,BOS,Jetblue Airways,JB1736,322,5/23/2022,6/22/2022
3/17/2022,Thursday,SFO,BOS,Alaska Airlines,AA548,330,5/23/2022,6/22/2022
3/17/2022,Thursday,SFO,BOS,United Airlines,UA2264,306,5/23/2022,6/22/2022
3/17/2022,Thursday,SFO,BOS,Jetblue Airways,JB1735,291,5/23/2022,6/22/2022
3/17/2022,Thursday,SFO,BOS,Alaska Airlines,AA560,314,5/23/2022,6/22/2022
3/18/2022,Friday,SFO,BOS,Alaska Airlines,AA546,329,5/23/2022,6/22/2022
3/18/2022,Friday,SFO,BOS,United Airlines,UA2262,317,5/23/2022,6/22/2022
3/18/2022,Friday,SFO,BOS,Jetblue Airways,JB1734,314,5/23/2022,6/22/2022
3/18/2022,Friday,SFO,BOS,Alaska Airlines,AA547,346,5/23/2022,6/22/2022
3/18/2022,Friday,SFO,BOS,United Airlines,UA2267,340,5/23/2022,6/22/2022
3/18/2022,Friday,SFO,BOS,Jetblue Airways,JB1736,294,5/23/2022,6/22/2022
3/18/2022,Friday,SFO,BOS,Alaska Airlines,AA548,348,5/23/2022,6/22/2022
3/18/2022,Friday,SFO,BOS,United Airlines,UA2264,300,5/23/2022,6/22/2022
3/18/2022,Friday,SFO,BOS,Jetblue Airways,JB1735,320,5/23/2022,6/22/2022
3/18/2022,Friday,SFO,BOS,Alaska Airlines,AA560,309,5/23/2022,6/22/2022
3/19/2022,Saturday,SFO,BOS,Alaska Airlines,AA546,320,5/23/2022,6/22/2022
3/19/2022,Saturday,SFO,BOS,United Airlines,UA2262,304,5/23/2022,6/22/2022
3/19/2022,Saturday,SFO,BOS,Jetblue Airways,JB1734,310,5/23/2022,6/22/2022
3/19/2022,Saturday,SFO,BOS,Alaska Airlines,AA547,323,5/23/2022,6/22/2022
3/19/2022,Saturday,SFO,BOS,United Airlines,UA2267,296,5/23/2022,6/22/2022
3/19/2022,Saturday,SFO,BOS,Jetblue Airways,JB1736,356,5/23/2022,6/22/2022
3/19/2022,Saturday,SFO,BOS,Alaska Airlines,AA548,303,5/23/2022,6/22/2022
3/19/2022,Saturday,SFO,BOS,United Airlines,UA2264,324,5/23/2022,6/22/2022
3/19/2022,Saturday,SFO,BOS,Jetblue Airways,JB1735,301,5/23/2022,6/22/2022
3/19/2022,Saturday,SFO,BOS,Alaska Airlines,AA560,299,5/23/2022,6/22/2022
3/20/2022,Sunday,SFO,BOS,Alaska Airlines,AA546,357,5/23/2022,6/22/2022
3/20/2022,Sunday,SFO,BOS,United Airlines,UA2262,345,5/23/2022,6/22/2022
3/20/2022,Sunday,SFO,BOS,Jetblue Airways,JB1734,319,5/23/2022,6/22/2022
3/20/2022,Sunday,SFO,BOS,Alaska Airlines,AA547,315,5/23/2022,6/22/2022
3/20/2022,Sunday,SFO,BOS,United Airlines,UA2267,297,5/23/2022,6/22/2022
3/20/2022,Sunday,SFO,BOS,Jetblue Airways,JB1736,331,5/23/2022,6/22/2022
3/20/2022,Sunday,SFO,BOS,Alaska Airlines,AA548,343,5/23/2022,6/22/2022
3/20/2022,Sunday,SFO,BOS,United Airlines,UA2264,322,5/23/2022,6/22/2022
3/20/2022,Sunday,SFO,BOS,Jetblue Airways,JB1735,331,5/23/2022,6/22/2022
3/20/2022,Sunday,SFO,BOS,Alaska Airlines,AA560,320,5/23/2022,6/22/2022
3/21/2022,Monday,SFO,BOS,Alaska Airlines,AA546,335,5/23/2022,6/22/2022
3/21/2022,Monday,SFO,BOS,United Airlines,UA2262,313,5/23/2022,6/22/2022
3/21/2022,Monday,SFO,BOS,Jetblue Airways,JB1734,311,5/23/2022,6/22/2022
3/21/2022,Monday,SFO,BOS,Alaska Airlines,AA547,324,5/23/2022,6/22/2022
3/21/2022,Monday,SFO,BOS,United Airlines,UA2267,341,5/23/2022,6/22/2022
3/21/2022,Monday,SFO,BOS,Jetblue Airways,JB1736,318,5/23/2022,6/22/2022
3/21/2022,Monday,SFO,BOS,Alaska Airlines,AA548,332,5/23/2022,6/22/2022
3/21/2022,Monday,SFO,BOS,United Airlines,UA2264,351,5/23/2022,6/22/2022
3/21/2022,Monday,SFO,BOS,Jetblue Airways,JB1735,323,5/23/2022,6/22/2022
3/21/2022,Monday,SFO,BOS,Alaska Airlines,AA560,310,5/23/2022,6/22/2022
3/22/2022,Tuesday,SFO,BOS,Alaska Airlines,AA546,308,5/23/2022,6/22/2022
3/22/2022,Tuesday,SFO,BOS,United Airlines,UA2262,297,5/23/2022,6/22/2022
3/22/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1734,296,5/23/2022,6/22/2022
3/22/2022,Tuesday,SFO,BOS,Alaska Airlines,AA547,360,5/23/2022,6/22/2022
3/22/2022,Tuesday,SFO,BOS,United Airlines,UA2267,354,5/23/2022,6/22/2022
3/22/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1736,348,5/23/2022,6/22/2022
3/22/2022,Tuesday,SFO,BOS,Alaska Airlines,AA548,291,5/23/2022,6/22/2022
3/22/2022,Tuesday,SFO,BOS,United Airlines,UA2264,295,5/23/2022,6/22/2022
3/22/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1735,291,5/23/2022,6/22/2022
3/22/2022,Tuesday,SFO,BOS,Alaska Airlines,AA560,298,5/23/2022,6/22/2022
3/23/2022,Wednesday,SFO,BOS,Alaska Airlines,AA546,322,5/23/2022,6/22/2022
3/23/2022,Wednesday,SFO,BOS,United Airlines,UA2262,311,5/23/2022,6/22/2022
3/23/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1734,329,5/23/2022,6/22/2022
3/23/2022,Wednesday,SFO,BOS,Alaska Airlines,AA547,332,5/23/2022,6/22/2022
3/23/2022,Wednesday,SFO,BOS,United Airlines,UA2267,360,5/23/2022,6/22/2022
3/23/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1736,326,5/23/2022,6/22/2022
3/23/2022,Wednesday,SFO,BOS,Alaska Airlines,AA548,297,5/23/2022,6/22/2022
3/23/2022,Wednesday,SFO,BOS,United Airlines,UA2264,359,5/23/2022,6/22/2022
3/23/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1735,343,5/23/2022,6/22/2022
3/23/2022,Wednesday,SFO,BOS,Alaska Airlines,AA560,324,5/23/2022,6/22/2022
3/24/2022,Thursday,SFO,BOS,Alaska Airlines,AA546,323,5/23/2022,6/22/2022
3/24/2022,Thursday,SFO,BOS,United Airlines,UA2262,352,5/23/2022,6/22/2022
3/24/2022,Thursday,SFO,BOS,Jetblue Airways,JB1734,303,5/23/2022,6/22/2022
3/24/2022,Thursday,SFO,BOS,Alaska Airlines,AA547,360,5/23/2022,6/22/2022
3/24/2022,Thursday,SFO,BOS,United Airlines,UA2267,340,5/23/2022,6/22/2022
3/24/2022,Thursday,SFO,BOS,Jetblue Airways,JB1736,359,5/23/2022,6/22/2022
3/24/2022,Thursday,SFO,BOS,Alaska Airlines,AA548,300,5/23/2022,6/22/2022
3/24/2022,Thursday,SFO,BOS,United Airlines,UA2264,302,5/23/2022,6/22/2022
3/24/2022,Thursday,SFO,BOS,Jetblue Airways,JB1735,334,5/23/2022,6/22/2022
3/24/2022,Thursday,SFO,BOS,Alaska Airlines,AA560,316,5/23/2022,6/22/2022
3/25/2022,Friday,SFO,BOS,Alaska Airlines,AA546,329,5/23/2022,6/22/2022
3/25/2022,Friday,SFO,BOS,United Airlines,UA2262,345,5/23/2022,6/22/2022
3/25/2022,Friday,SFO,BOS,Jetblue Airways,JB1734,299,5/23/2022,6/22/2022
3/25/2022,Friday,SFO,BOS,Alaska Airlines,AA547,323,5/23/2022,6/22/2022
3/25/2022,Friday,SFO,BOS,United Airlines,UA2267,352,5/23/2022,6/22/2022
3/25/2022,Friday,SFO,BOS,Jetblue Airways,JB1736,343,5/23/2022,6/22/2022
3/25/2022,Friday,SFO,BOS,Alaska Airlines,AA548,349,5/23/2022,6/22/2022
3/25/2022,Friday,SFO,BOS,United Airlines,UA2264,334,5/23/2022,6/22/2022
3/25/2022,Friday,SFO,BOS,Jetblue Airways,JB1735,338,5/23/2022,6/22/2022
3/25/2022,Friday,SFO,BOS,Alaska Airlines,AA560,321,5/23/2022,6/22/2022
3/26/2022,Saturday,SFO,BOS,Alaska Airlines,AA546,307,5/23/2022,6/22/2022
3/26/2022,Saturday,SFO,BOS,United Airlines,UA2262,343,5/23/2022,6/22/2022
3/26/2022,Saturday,SFO,BOS,Jetblue Airways,JB1734,316,5/23/2022,6/22/2022
3/26/2022,Saturday,SFO,BOS,Alaska Airlines,AA547,343,5/23/2022,6/22/2022
3/26/2022,Saturday,SFO,BOS,United Airlines,UA2267,292,5/23/2022,6/22/2022
3/26/2022,Saturday,SFO,BOS,Jetblue Airways,JB1736,291,5/23/2022,6/22/2022
3/26/2022,Saturday,SFO,BOS,Alaska Airlines,AA548,354,5/23/2022,6/22/2022
3/26/2022,Saturday,SFO,BOS,United Airlines,UA2264,302,5/23/2022,6/22/2022
3/26/2022,Saturday,SFO,BOS,Jetblue Airways,JB1735,316,5/23/2022,6/22/2022
3/26/2022,Saturday,SFO,BOS,Alaska Airlines,AA560,300,5/23/2022,6/22/2022
3/27/2022,Sunday,SFO,BOS,Alaska Airlines,AA546,300,5/23/2022,6/22/2022
3/27/2022,Sunday,SFO,BOS,United Airlines,UA2262,292,5/23/2022,6/22/2022
3/27/2022,Sunday,SFO,BOS,Jetblue Airways,JB1734,358,5/23/2022,6/22/2022
3/27/2022,Sunday,SFO,BOS,Alaska Airlines,AA547,327,5/23/2022,6/22/2022
3/27/2022,Sunday,SFO,BOS,United Airlines,UA2267,318,5/23/2022,6/22/2022
3/27/2022,Sunday,SFO,BOS,Jetblue Airways,JB1736,340,5/23/2022,6/22/2022
3/27/2022,Sunday,SFO,BOS,Alaska Airlines,AA548,318,5/23/2022,6/22/2022
3/27/2022,Sunday,SFO,BOS,United Airlines,UA2264,353,5/23/2022,6/22/2022
3/27/2022,Sunday,SFO,BOS,Jetblue Airways,JB1735,351,5/23/2022,6/22/2022
3/27/2022,Sunday,SFO,BOS,Alaska Airlines,AA560,341,5/23/2022,6/22/2022
3/28/2022,Monday,SFO,BOS,Alaska Airlines,AA546,352,5/23/2022,6/22/2022
3/28/2022,Monday,SFO,BOS,United Airlines,UA2262,335,5/23/2022,6/22/2022
3/28/2022,Monday,SFO,BOS,Jetblue Airways,JB1734,324,5/23/2022,6/22/2022
3/28/2022,Monday,SFO,BOS,Alaska Airlines,AA547,354,5/23/2022,6/22/2022
3/28/2022,Monday,SFO,BOS,United Airlines,UA2267,320,5/23/2022,6/22/2022
3/28/2022,Monday,SFO,BOS,Jetblue Airways,JB1736,307,5/23/2022,6/22/2022
3/28/2022,Monday,SFO,BOS,Alaska Airlines,AA548,339,5/23/2022,6/22/2022
3/28/2022,Monday,SFO,BOS,United Airlines,UA2264,338,5/23/2022,6/22/2022
3/28/2022,Monday,SFO,BOS,Jetblue Airways,JB1735,336,5/23/2022,6/22/2022
3/28/2022,Monday,SFO,BOS,Alaska Airlines,AA560,305,5/23/2022,6/22/2022
3/29/2022,Tuesday,SFO,BOS,Alaska Airlines,AA546,321,5/23/2022,6/22/2022
3/29/2022,Tuesday,SFO,BOS,United Airlines,UA2262,308,5/23/2022,6/22/2022
3/29/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1734,342,5/23/2022,6/22/2022
3/29/2022,Tuesday,SFO,BOS,Alaska Airlines,AA547,333,5/23/2022,6/22/2022
3/29/2022,Tuesday,SFO,BOS,United Airlines,UA2267,333,5/23/2022,6/22/2022
3/29/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1736,318,5/23/2022,6/22/2022
3/29/2022,Tuesday,SFO,BOS,Alaska Airlines,AA548,307,5/23/2022,6/22/2022
3/29/2022,Tuesday,SFO,BOS,United Airlines,UA2264,313,5/23/2022,6/22/2022
3/29/2022,Tuesday,SFO,BOS,Jetblue Airways,JB1735,316,5/23/2022,6/22/2022
3/29/2022,Tuesday,SFO,BOS,Alaska Airlines,AA560,350,5/23/2022,6/22/2022
3/30/2022,Wednesday,SFO,BOS,Alaska Airlines,AA546,349,5/23/2022,6/22/2022
3/30/2022,Wednesday,SFO,BOS,United Airlines,UA2262,311,5/23/2022,6/22/2022
3/30/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1734,350,5/23/2022,6/22/2022
3/30/2022,Wednesday,SFO,BOS,Alaska Airlines,AA547,351,5/23/2022,6/22/2022
3/30/2022,Wednesday,SFO,BOS,United Airlines,UA2267,336,5/23/2022,6/22/2022
3/30/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1736,340,5/23/2022,6/22/2022
3/30/2022,Wednesday,SFO,BOS,Alaska Airlines,AA548,290,5/23/2022,6/22/2022
3/30/2022,Wednesday,SFO,BOS,United Airlines,UA2264,318,5/23/2022,6/22/2022
3/30/2022,Wednesday,SFO,BOS,Jetblue Airways,JB1735,290,5/23/2022,6/22/2022
3/30/2022,Wednesday,SFO,BOS,Alaska Airlines,AA560,331,5/23/2022,6/22/2022
3/31/2022,Thursday,SFO,BOS,Alaska Airlines,AA546,328,5/23/2022,6/22/2022
3/31/2022,Thursday,SFO,BOS,United Airlines,UA2262,346,5/23/2022,6/22/2022
3/31/2022,Thursday,SFO,BOS,Jetblue Airways,JB1734,315,5/23/2022,6/22/2022
3/31/2022,Thursday,SFO,BOS,Alaska Airlines,AA547,329,5/23/2022,6/22/2022
3/31/2022,Thursday,SFO,BOS,United Airlines,UA2267,302,5/23/2022,6/22/2022
3/31/2022,Thursday,SFO,BOS,Jetblue Airways,JB1736,296,5/23/2022,6/22/2022
3/31/2022,Thursday,SFO,BOS,Alaska Airlines,AA548,341,5/23/2022,6/22/2022
